スズメ,すずめ
シジュウカラ,しじゅうから
カワラヒワ,かわらひわ
シメ,しめ
メジロ,めじろ
ツバメ,つばめ
アオジ,あおじ
ホオジロ,ほおじろ
ジョウビタキ,じょうびたき
モズ,もず
ハクセキレイ,はくせきれい
コゲラ,こげら
ムクドリ,むくどり
ヒヨドリ,ひよどり
ツグミ,つぐみ
アカハラ,あかはら
キジバト,きじばと
シロハラ,しろはら
ハシボソガラス,はしぼそがらす
ハシブトガラス,はしぶとがらす
トビ,とび
オナガ,おなが
カササギ,かささぎ
シラコバト,しらこばと
ヒガラ,ひがら
コガラ,こがら
ハシブトガラ,はしぶとがら
ヤマガラ,やまがら
エナガ,えなが
ゴジュウカラ,ごじゅうから
キバシリ,きばしり
ツメナガホオジロ,つめながほおじろ
ユキホオジロ,ゆきほおじろ
ノジコ,のじこ
カシラダカ,かしらだか
ミヤマホオジロ,みやまほおじろ
クロジ,くろじ
シロハラホオジロ,しろはらほおじろ
コホオアカ,こほおあか
マヒワ,まひわ
ベニヒワ,べにひわ
アトリ,あとり
ベニマシコ,べにましこ
オオマシコ,おおましこ
ギンザンマシコ,ぎんざんましこ
ハギマシコ,はぎましこ
イスカ,いすか
ウソ,うそ
コイカル,こいかる
イカル,いかる
サンコウチョウ,さんこうちょう
キビタキ,きびたき
ムギマキ,むぎまき
オジロビタキ,おじろびたき
オオルリ,おおるり
サメビタキ,さめびたき
コサメビタキ,こさめびたき
エゾビタキ,えぞびたき
ミヤマヒタキ,みやまひたき
キクイタダキ,きくいただき
ヤブサメ,やぶさめ
エゾムシクイ,えぞむしくい
キマユムシクイ,きまゆむしくい
コノドジロムシクイ,このどじろむしくい
イイジマムシクイ,いいじまむしくい
センダイムシクイ,せんだいむしくい
エゾセンニュウ,えぞせんにゅう
コマドリ,こまどり
アカヒゲ,あかひげ
コルリ,こるり
ルリビタキ,るりびたき
オガワコマドリ,おがわこまどり
ミソサザイ,みそさざい
ニュウナイスズメ,にゅうないすずめ
カヤクグリ,かやくぐり
ビンズイ,びんずい
イワミセキレイ,いわみせきれい
シロガシラ,しろがしら
サンショウクイ,さんしょうくい
チゴモズ,ちごもず
アカモズ,あかもず
タカサゴモズ,たかさごもず
オオモズ,おおもず
キレンジャク,きれんじゃく
ヒレンジャク,ひれんじゃく
コムクドリ,こむくどり
カラムクドリ,からむくどり
ホシムクドリ,ほしむくどり
ヤイロチョウ,やいろちょう
マミチャジナイ,まみちゃじない
クロツグミ,くろつぐみ
クロウタドリ,くろうたどり
マミジロ,まみじろ
カラアカハラ,からあかはら
ノハラツグミ,のはらつぐみ
アカコッコ,あかこっこ
トラツグミ,とらつぐみ
オオカラモズ,おおからもず
アカショウビン,あかしょうびん
ブッポウソウ,ぶっぽうそう
ジャワハッカ,じゃわはっか
コゲラ,こげら
アリスイ,ありすい
コアカゲラ,こあかげら
アカゲラ,あかげら
オオアカゲラ,おおあかげら
アオグラ,あおぐら
ヤマゲラ,やまげら
ノグチゲラ,のぐちげら
クマゲラ,くまげら
アオバト,あおばと
ズアカアオバト,ずあかあおばと
カラスバト,からすばと
ホトトギス,ほととぎす
ジュウイチ,じゅういち
ツツドリ,つつどり
カッコウ,かっこう
カゲス,かげす
ルリカケス,るりかけす
ワタリガラス,わたりがらす
ヤマシギ,やましぎ
エゾライチョウ,えぞらいちょう
キジ,きじ
ヤマドリ,やまどり
ミゾゴイ,みぞごい
ズグロミゾゴイ,ずぐろみぞごい
カラス,からす
ウグイス,うぐいす
