アケビ	あけび
アセロラ	あせろら
アボカド	あぼかど
アンズ	あんず
イチゴ	いちご
イチジク	いちじく
ウメ	うめ
ウンシュウミカン	うんしゅうみかん
オレンジ	おれんじ
カキ	かき
カリン	かりん
キウイフルーツ	きういふるーつ
キワノ	きわの
クリ	くり
グアバ	ぐあば
グレープフルーツ	ぐれーぷふるーつ
サクランボ	さくらんぼ
ザクロ	ざくろ
スイカ	すいか
スターフルーツ	すたーふるーつ
スモモ	すもも
セイヨウナシ	せいようなし
チェリモヤ	ちぇりもや
チュウゴクナシ	ちゅうごくなし
ドラゴンフルーツ	どらごんふるーつ
ドリアン	どりあん
ナシ	なし
ネクタリアン	ねくたりあん
バナナ	ばなな
パイナップル	ぱいなっぷる
パッションフルーツ	ぱっしょんふるーつ
パパイア	ぱぱいあ
ビワ	びわ
ブドウ	ぶどう
ブルーベリー	ぶるーべりー
プルーン	ぷるーん
マルメロ	まるめろ
マンゴスチン	まんごすちん
マンゴー	まんごー
メロン	めろん
モモ	もも
ライチ	らいち
リンゴ	りんご
レモン	れもん
