アシタバ	あしたば
アスパラガス	あすぱらがす
アーティチョーク	あーてぃちょーく
ウド	うど
ウリ	うり
エシャロット	えしゃろっと
エダマメ	えだまめ
エノキ	えのき
エリンギ	えりんぎ
オカヒジキ	おかひじき
オクラ	おくら
カイワレダイコン	かいわれだいこん
カブ	かぶ
カボチャ	かぼちゃ
カラシナ	からしな
カリフラワー	かりふらわー
キクラゲ	きくらげ
キャベツ	きゃべつ
キュウリ	きゅうり
クウシンサイ	くうしんさい
グリーンピース	ぐりーんぴーす
クレソン	くれそん
クワイ	くわい
ゴボウ	ごぼう
サトイモ	さといも
サヤインゲン	さやいんげん
サヤエンドウ	さやえんどう
シイタケ	しいたけ
シシトウ	ししとう
シソ	しそ
シメジ	しめじ
ジャガイモ	じゃがいも
シュンギク	しゅんぎく
ショウガ	しょうが
ショクヨウギク	しょくようぎく
ズッキーニ	ずっきーに
セロリ	せろり
ソラマメ	そらまめ
タアサイ	たあさい
ダイコン	だいこん
タケノコ	たけのこ
タマネギ	たまねぎ
チコリー	ちこりー
チンゲンサイ	ちんげんさい
ツルムラサキ	つるむらさき
トウガラシ	とうがらし
トウガン	とうがん
トウモロコシ	とうもろこし
トマト	とまと
トレビス	とれびす
ナス	なす
ナバナ	なばな
ナメコ	なめこ
ニラ	にら
ニンジン	にんじん
ニンニク	にんにく
ネギ	ねぎ
ハクサイ	はくさい
パセリ	ぱせり
ヒラタケ	ひらたけ
ビーツ	びーつ
ピーマン	ぴーまん
フキ	ふき
フダンソウ	ふだんそう
ブロッコリー	ぶろっこりー
ホウレンソウ	ほうれんそう
マイタケ	まいたけ
マッシュルーム	まっしゅるーむ
マツタケ	まつたけ
ミズナ	みずな
ミツバ	みつば
ミョウガ	みょうが
モヤシ	もやし
モロヘイヤ	もろへいや
ヤマノイモ	やまのいも
ヤーコン	やーこん
ユリネ	ゆりね
ラッキョウ	らっきょう
ルッコラ	るっこら
ルバーブ	るばーぶ
レタス	れたす
レンコン	れんこん
