ミトシ 	みとし 
ヒタチシ 	ひたちし 
ツチウラシ 	つちうらし 
コガシ 	こがし 
イシオカシ 	いしおかし 
 ユウキシ 	 ゆうきし 
リュウガサキシ 	りゅうがさきし 
シモツマシ 	しもつまし 
ジョウソウシ 	じょうそうし 
ヒタチオオタシ 	ひたちおおたし 
タカハギシ 	たかはぎし 
キタイバラキシ 	きたいばらきし 
カサマシ 	かさまし 
トリデシ 	とりでし 
ウシクシ 	うしくし 
ツクバシ 	つくばし 
ヒタチナカシ 	ひたちなかし 
カシマシ 	かしまし 
イタコシ 	いたこし 
モリヤシ 	もりやし 
ヒタチオオミヤシ 	ひたちおおみやし 
ナカシ 	なかし 
チクセイシ 	ちくせいし 
バンドウシ	ばんどうし
イナシキシ 	いなしきし 
カスミガウラシ 	かすみがうらし 
サクラガワシ 	さくらがわし 
カミスシ 	かみすし 
ナメガタシ 	なめがたし 
ホコタシ	ほこたし
ツクバミライシ 	つくばみらいし 
オミタマシ 	おみたまし 
イバラキマチ 	いばらきまち 
オオアライマチ	おおあらいまち
シロサトマチ 	しろさとまち 
トウカイムラ 	とうかいむら 
ダイゴマチ 	だいごまち 
ミホムラ 	みほむら 
アミマチ 	あみまち 
カワチマチ 	かわちまち 
ヤチヨマチ 	やちよまち 
ゴカマチ 	ごかまち 
 サカイマチ 	 さかいまち 
トネマチ 	とねまち 
